Task_ID,Task_Description,Created_Date,Deadline,Est. Hours,Category,Priority,Class,Assigned_To
1,Here like cause money foot court realize.,2025-04-07,2025-04-10,1.01,Bug,Medium,Technical,U08
2,Choose world feeling key.,2025-03-29,2025-03-30,4.99,Improvement,High,Admin,U07
3,Cultural we can issue.,2025-03-24,2025-03-28,9.84,Improvement,Medium,Support,U06
4,Plant occur class American.,2025-01-08,2025-01-15,5.12,Feature,Low,Technical,U06
5,Plan including run serve.,2025-06-11,2025-06-19,8.45,Feature,Medium,Admin,U07
6,Phone statement threat add tax once chair candidate.,2025-04-28,2025-05-07,1.33,Bug,Low,Research,U03
7,Test law sometimes almost statement.,2025-05-17,2025-05-22,3.25,Bug,High,Research,U03
8,Congress near final cut.,2025-05-25,2025-05-27,6.58,Bug,Low,Support,U08
9,Skin baby suddenly join series thank political.,2025-04-17,2025-04-27,2.1,Feature,Medium,Admin,U07
10,Everything less hear.,2025-03-21,2025-03-30,3.79,Improvement,High,Research,U07
11,Dog present event.,2025-03-13,2025-03-17,9.24,Bug,Medium,Research,U10
12,Fund low like person.,2025-05-11,2025-05-19,9.88,Bug,Medium,Support,U02
13,Family piece idea service probably middle may.,2025-01-31,2025-02-07,1.1,Feature,High,Admin,U02
14,She myself significant always increase.,2025-06-10,2025-06-11,5.0,Feature,Medium,Technical,U05
15,Beyond avoid television effort.,2025-03-03,2025-03-10,1.76,Improvement,High,Research,U04
16,Professor police before address.,2025-04-28,2025-05-05,9.92,Improvement,High,Technical,U06
17,Task store key drug market leg these.,2025-04-12,2025-04-21,3.5,Feature,Medium,Admin,U08
18,Ball race feel kitchen campaign mean smile expect.,2025-03-23,2025-03-28,1.9,Bug,Medium,Technical,U10
19,Guess follow month few support.,2025-03-29,2025-04-06,8.97,Feature,Low,Support,U10
20,Other entire society name near enjoy itself.,2025-06-14,2025-06-15,5.66,Bug,Low,Admin,U03
21,Oil production system team human consider.,2025-04-30,2025-05-10,4.64,Improvement,Low,Research,U08
22,Economy car chair.,2025-05-31,2025-06-03,4.06,Improvement,Low,Admin,U04
23,Course order president board.,2025-05-11,2025-05-17,3.69,Bug,High,Technical,U01
24,Fund site interest me contain.,2025-04-14,2025-04-19,7.55,Feature,Low,Support,U03
25,Should may political energy enjoy plan bag case.,2025-02-08,2025-02-09,8.77,Feature,Low,Support,U06
26,Range understand science social instead.,2025-01-26,2025-02-04,2.47,Bug,Medium,Technical,U07
27,First contain write significant sound difference other.,2025-06-06,2025-06-11,8.37,Feature,Medium,Admin,U10
28,Win until open father agent detail very.,2025-01-28,2025-02-02,2.47,Bug,Low,Support,U02
29,Hear general standard institution face this night.,2025-03-04,2025-03-08,7.19,Feature,Medium,Research,U09
30,Level difference professor beyond inside amount front.,2025-01-29,2025-02-05,2.96,Improvement,High,Technical,U01
31,Along summer bring project.,2025-01-10,2025-01-17,4.61,Bug,Medium,Admin,U04
32,Off show store happy ball attack production analysis.,2025-03-16,2025-03-20,3.22,Feature,Low,Research,U10
33,Plan explain month mind modern parent.,2025-02-17,2025-02-24,6.91,Bug,Medium,Support,U06
34,Board serve miss value bring.,2025-06-05,2025-06-09,3.85,Feature,Low,Technical,U01
35,Half send heavy matter total would.,2025-02-09,2025-02-17,6.27,Feature,Low,Research,U02
36,Although Democrat machine lawyer whose.,2025-03-08,2025-03-13,2.22,Bug,High,Admin,U02
37,When must citizen soldier say.,2025-01-27,2025-01-30,2.28,Improvement,High,Technical,U01
38,Value arrive something man.,2025-01-31,2025-02-07,2.87,Feature,Medium,Support,U07
39,Trip grow can discussion.,2025-01-15,2025-01-24,1.82,Feature,High,Admin,U02
40,Six staff miss small find fight reveal.,2025-01-09,2025-01-16,4.59,Bug,Medium,Support,U06
41,Might behavior boy case cut season.,2025-06-12,2025-06-17,2.58,Improvement,Medium,Support,U01
42,All now call life learn.,2025-03-22,2025-03-28,8.7,Feature,Low,Support,U02
43,Find feeling case whole husband lot.,2025-06-04,2025-06-08,8.26,Bug,Medium,Research,U02
44,Finally Congress government bit hard.,2025-04-05,2025-04-11,1.39,Feature,High,Technical,U07
45,Seven daughter perhaps tree.,2025-01-25,2025-01-26,4.77,Feature,Medium,Support,U04
46,Old administration cup wide growth administration material.,2025-03-15,2025-03-25,7.49,Improvement,Low,Technical,U08
47,Face notice card international tough character indeed.,2025-04-16,2025-04-23,7.99,Bug,Medium,Admin,U10
48,Management whether kid book political as wear south.,2025-06-16,2025-06-21,2.44,Improvement,Medium,Admin,U08
49,Individual hand different town purpose air.,2025-05-11,2025-05-17,1.7,Improvement,Low,Support,U06
50,Pull center pay attack.,2025-04-03,2025-04-06,4.17,Bug,Low,Technical,U03
51,Manage specific ago their base similar recognize.,2025-02-21,2025-02-27,3.71,Feature,Low,Admin,U01
52,Leg water network to.,2025-03-22,2025-03-25,5.64,Bug,Medium,Research,U06
53,Hand strategy story our.,2025-01-27,2025-02-02,7.7,Feature,High,Technical,U06
54,Arm newspaper laugh right behavior camera soldier.,2025-01-16,2025-01-24,9.66,Bug,Low,Research,U08
55,Still behind condition born attack.,2025-04-16,2025-04-18,5.91,Bug,Low,Research,U04
56,Entire institution real find TV drive.,2025-05-30,2025-06-09,6.39,Improvement,High,Technical,U02
57,Official care nice.,2025-06-08,2025-06-17,8.29,Bug,Low,Technical,U08
58,Hand debate charge often drive.,2025-03-07,2025-03-15,6.2,Feature,Medium,Support,U01
